mouseEntryTime,mouseName,mouseRFID,tunnelID,taskType,phaseID,pGo,Stim. freq (Hz),Stim. amp,ITI,start_delay_min,start_delay_max,stimulusType,stimulusSide,stimulusTime,stimDuration(sec),timeout(sec),trialType,responseWindow(sec),mouseResponse,responseTimes,isLickBeforeStimulus,autoReward,punishment,preLicks,rand_delay_after_cue,ITI_blocks,totalLicks,is_water
2022-11-02 09:45:14.958785,R9,,TrainingBox4,Reward,Reward,,,,4.0,2.5,2.5,,,,,,Reward,2,NoLick,[],False,,,[],2.5,15,[],0
2022-11-02 09:45:14.958785,R9,,TrainingBox4,Reward,Reward,,,,4.0,2.5,2.5,,,,,,Reward,2,NoLick,[],False,,,[],2.5,15,[],0
2022-11-02 09:45:14.958785,R9,,TrainingBox4,Reward,Reward,,,,4.0,2.5,2.5,,,,,,Reward,2,NoLick,[],False,,,[],2.5,15,[],0
2022-11-02 09:45:14.958785,R9,,TrainingBox4,Reward,Reward,,,,4.0,2.5,2.5,,,,,,Reward,2,NoLick,[],False,,,[],2.5,15,[],0
2022-11-02 09:45:14.958785,R9,,TrainingBox4,Reward,Reward,,,,4.0,2.5,2.5,,,,,,Reward,2,NoLick,[],False,,,[],2.5,15,[],0
2022-11-02 09:45:14.958785,R9,,TrainingBox4,Reward,Reward,,,,4.0,2.5,2.5,,,,,,Reward,2,NoLick,[],False,,,[],2.5,15,[],0
2022-11-02 09:45:14.958785,R9,,TrainingBox4,Reward,Reward,,,,4.0,2.5,2.5,,,,,,Reward,2,NoLick,[],False,,,[],2.5,15,[],0
2022-11-02 09:45:14.958785,R9,,TrainingBox4,Reward,Reward,,,,4.0,2.5,2.5,,,,,,Reward,2,NoLick,[],False,,,[],2.5,15,[],0
2022-11-02 09:45:14.958785,R9,,TrainingBox4,Reward,Reward,,,,4.0,2.5,2.5,,,,,,Reward,2,NoLick,[],False,,,[],2.5,15,[],0
2022-11-02 09:45:14.958785,R9,,TrainingBox4,Reward,Reward,,,,4.0,2.5,2.5,,,,,,Reward,2,NoLick,[],False,,,[],2.5,15,[],0
2022-11-02 09:45:14.958785,R9,,TrainingBox4,Reward,Reward,,,,4.0,2.5,2.5,,,,,,Reward,2,NoLick,[],False,,,[],2.5,15,[],0
2022-11-02 09:45:14.958785,R9,,TrainingBox4,Reward,Reward,,,,4.0,2.5,2.5,,,,,,Reward,2,NoLick,[],False,,,[],2.5,15,[],0
2022-11-02 09:45:14.958785,R9,,TrainingBox4,Reward,Reward,,,,4.0,2.5,2.5,,,,,,Reward,2,NoLick,[],False,,,[],2.5,15,[],0
2022-11-02 09:45:14.958785,R9,,TrainingBox4,Reward,Reward,,,,4.0,2.5,2.5,,,,,,Reward,2,NoLick,[],False,,,[],2.5,15,[],0
2022-11-02 09:45:14.958785,R9,,TrainingBox4,Reward,Reward,,,,4.0,2.5,2.5,,,,,,Reward,2,NoLick,[],False,,,[],2.5,15,[],0
2022-11-02 10:00:27.326540,R9,,TrainingBox4,Reward,Reward,,,,8.0,2.5,2.5,,,,,,Reward,2,NoLick,[],False,,,[],2.5,15,[],0
2022-11-02 10:00:27.326540,R9,,TrainingBox4,Reward,Reward,,,,8.0,2.5,2.5,,,,,,Reward,2,NoLick,[],False,,,[],2.5,15,[],0
2022-11-02 10:00:27.326540,R9,,TrainingBox4,Reward,Reward,,,,8.0,2.5,2.5,,,,,,Reward,2,NoLick,[],False,,,[],2.5,15,[],0
2022-11-02 10:00:27.326540,R9,,TrainingBox4,Reward,Reward,,,,8.0,2.5,2.5,,,,,,Reward,2,NoLick,[],False,,,[],2.5,15,[],0
